Year,Country,Count
1987,Afghanistan,3
1987,Angola,1
1987,Australia,1
1987,Bolivia,1
1987,Cambodia,4
1987,Canada,1
1987,China,3
1987,Colombia,1
1987,Cuba,3
1987,Ecuador,1
1987,Egypt,1
1987,Greece,1
1987,Iceland,2
1987,India,2
1987,Iran,2
1987,Iraq,1
1987,Israel,5
1987,Japan,10
1987,Laos,1
1987,Libya,4
1987,Micronesia,1
1987,Nicaragua,4
1987,North Korea,2
1987,Pakistan,4
1987,Philippines,3
1987,Poland,1
1987,Portugal,1
1987,Russia,2
1987,Senegal,1
1987,South Africa,2
1987,Spain,1
1987,Syria,2
1987,Thailand,4
1987,Turkey,1
1987,United Kingdom,1
1987,United States,90
1987,Uruguay,1
1987,Vietnam,2
1988,Afghanistan,8
1988,Angola,4
1988,Australia,2
1988,Cambodia,5
1988,Canada,4
1988,Chad,1
1988,China,7
1988,Comoros,1
1988,Cuba,3
1988,Dominica,1
1988,Egypt,1
1988,El Salvador,2
1988,Fiji,1
1988,Germany,2
1988,Guinea,1
1988,Hong Kong,1
1988,Iceland,1
1988,India,6
1988,Indonesia,1
1988,Iran,8
1988,Iraq,2
1988,Israel,4
1988,Japan,17
1988,Kenya,1
1988,Kiribati,1
1988,Laos,1
1988,Latvia,1
1988,Libya,4
1988,Lithuania,1
1988,Malaysia,1
1988,Micronesia,1
1988,Mongolia,1
1988,Namibia,1
1988,New Zealand,2
1988,Nicaragua,11
1988,North Korea,3
1988,Pakistan,6
1988,Palau,1
1988,Philippines,7
1988,Russia,2
1988,Somalia,1
1988,South Africa,5
1988,Thailand,4
1988,Togo,1
1988,United States,70
1988,Vietnam,3
1988,Yemen,2
1990,Afghanistan,3
1990,Angola,2
1990,Australia,1
1990,Canada,1
1990,China,6
1990,Cuba,1
1990,Ethiopia,1
1990,Germany,6
1990,Haiti,1
1990,Hungary,1
1990,India,2
1990,Iran,1
1990,Israel,2
1990,Japan,10
1990,Lebanon,1
1990,Libya,2
1990,Malta,1
1990,Mexico,2
1990,Mozambique,1
1990,Namibia,2
1990,Nicaragua,1
1990,Pakistan,3
1990,Panama,2
1990,Philippines,3
1990,Poland,1
1990,Russia,2
1990,South Africa,2
1990,Syria,1
1990,Taiwan,1
1990,United States,40
1990,Uruguay,1
1990,Vietnam,1
1991,Afghanistan,2
1991,Angola,1
1991,Argentina,1
1991,Australia,3
1991,Brazil,1
1991,Cambodia,5
1991,Canada,4
1991,Chile,1
1991,China,7
1991,Colombia,1
1991,Cuba,3
1991,Egypt,2
1991,Ethiopia,1
1991,France,1
1991,Germany,7
1991,Haiti,1
1991,Hungary,2
1991,India,1
1991,Iran,2
1991,Iraq,12
1991,Israel,5
1991,Italy,1
1991,Japan,11
1991,Jordan,1
1991,Kuwait,6
1991,Liberia,2
1991,Libya,1
1991,Mexico,3
1991,Morocco,1
1991,Mozambique,1
1991,Namibia,1
1991,New Zealand,1
1991,Nicaragua,3
1991,Nigeria,1
1991,North Korea,3
1991,Pakistan,2
1991,Panama,1
1991,Peru,1
1991,Philippines,3
1991,Poland,3
1991,Russia,2
1991,Somalia,1
1991,South Africa,2
1991,Taiwan,2
1991,Turkey,1
1991,United Kingdom,1
1991,United States,45
1991,Uruguay,1
1991,Venezuela,1
1991,Vietnam,4
1991,Western Sahara,1
1993,Afghanistan,1
1993,Angola,2
1993,Australia,1
1993,Belarus,1
1993,Benin,1
1993,Cambodia,1
1993,China,4
1993,Cuba,3
1993,El Salvador,1
1993,Ethiopia,1
1993,France,1
1993,Gabon,1
1993,Germany,2
1993,Haiti,1
1993,Iraq,1
1993,Ivory Coast,1
1993,Japan,10
1993,Kazakhstan,1
1993,Kuwait,2
1993,Laos,1
1993,Lebanon,1
1993,Mozambique,1
1993,Namibia,1
1993,Nicaragua,1
1993,North Korea,2
1993,Peru,1
1993,Russia,3
1993,Somalia,1
1993,South Africa,2
1993,Ukraine,1
1993,United States,37
1993,Vietnam,2
1993,Western Sahara,1
1993,Zambia,1
1994,Afghanistan,1
1994,Angola,1
1994,Argentina,2
1994,Australia,1
1994,Belarus,1
1994,Benin,1
1994,Brazil,2
1994,Burundi,1
1994,Cambodia,2
1994,Canada,1
1994,Chile,1
1994,China,10
1994,Cuba,3
1994,Cyprus,1
1994,Eritrea,1
1994,Germany,3
1994,Guatemala,3
1994,Haiti,5
1994,India,3
1994,Iran,6
1994,Iraq,9
1994,Israel,2
1994,Japan,7
1994,Kazakhstan,2
1994,Kosovo,1
1994,Kuwait,1
1994,Liberia,2
1994,Libya,1
1994,Macedonia,1
1994,Malawi,1
1994,Mali,1
1994,Mexico,2
1994,Mozambique,2
1994,Namibia,1
1994,Netherlands,1
1994,Niger,1
1994,Nigeria,3
1994,North Korea,2
1994,Pakistan,2
1994,Philippines,2
1994,Poland,1
1994,Russia,17
1994,Rwanda,3
1994,Serbia,2
1994,Somalia,5
1994,South Africa,9
1994,South Korea,2
1994,Sudan,1
1994,Thailand,1
1994,Ukraine,9
1994,United States,38
1995,Afghanistan,1
1995,Angola,3
1995,Argentina,3
1995,Belarus,4
1995,Benin,1
1995,Brazil,2
1995,Burundi,2
1995,Cambodia,3
1995,Canada,4
